# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 199 | 16.619 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17017] -137/615` |
| 200 | 16.599 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13042] -457/879` |
| 201 | 16.589 us | `computable` | `generated_tan_p96` | `generated[11061] 5 127/146` |
| 202 | 16.579 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[12967] 65/583` |
| 203 | 16.569 us | `computable` | `generated_atan_p96` | `generated[4854] -1 15/17` |
| 204 | 16.519 us | `computable` | `generated_tan_p96` | `generated[1101] -4 110/119` |
| 205 | 16.519 us | `computable` | `generated_tan_p96` | `generated[11451] -7 14/45` |
| 206 | 16.489 us | `computable` | `generated_tan_p96` | `generated[9531] -3 21/289` |
| 207 | 16.479 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13762] 129/929` |
| 208 | 16.459 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13297] 167/689` |
| 209 | 16.439 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13627] 269/795` |
| 210 | 16.409 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13582] 2 73/209` |
| 211 | 16.409 us | `computable` | `generated_tan_p96` | `generated[13476] -7 17/106` |
| 212 | 16.399 us | `real` | `generated_ln_abs_plus_one_build` | `generated[8069] 6 38/49` |
| 213 | 16.389 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9322] -153/953` |
| 214 | 16.379 us | `computable` | `generated_tan_p96` | `generated[13836] -3 73/131` |
| 215 | 16.368 us | `real` | `generated_ln_abs_plus_one_build` | `generated[3824] 6 22/45` |
| 216 | 16.349 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11707] 39/994` |
| 217 | 16.348 us | `computable` | `generated_cos_p96` | `generated[15995] -4 11/46` |
| 218 | 16.329 us | `computable` | `generated_cos_p96` | `generated[9530] -5 1/192` |
| 219 | 16.329 us | `computable` | `generated_tan_p96` | `generated[16086] -3 10/19` |
| 220 | 16.319 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1012] 1 454/459` |
| 221 | 16.309 us | `real` | `generated_ln_abs_plus_one_build` | `generated[17084] 5 3/5` |
| 222 | 16.289 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15637] -2 221/353` |
| 223 | 16.279 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[8392] -7/43` |
| 224 | 16.269 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16027] -1 146/297` |
